#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 100  27
# Band-Index    1
   0.49929    -13.109904    -13.067106
   0.45478    -13.177127    -13.133603
   0.41027    -13.232838    -13.188618
   0.36576    -13.276652    -13.231805
   0.32126    -13.308228    -13.262872
   0.27675    -13.327298    -13.281605
   0.23224    -13.333678    -13.287867
   0.23224    -13.333678    -13.287867
   0.22002    -13.332560    -13.286947
   0.20780    -13.329405    -13.284315
   0.19557    -13.324670    -13.280275
   0.18335    -13.318842    -13.275191
   0.17113    -13.312326    -13.269398
   0.15890    -13.305425    -13.263172
   0.14668    -13.298366    -13.256735
   0.13446    -13.291326    -13.250265
   0.12223    -13.284450    -13.243909
   0.11001    -13.277856    -13.237789
   0.09779    -13.271650    -13.232012
   0.08556    -13.265932    -13.226677
   0.07334    -13.260788    -13.221872
   0.06112    -13.256293    -13.217668
   0.04889    -13.252516    -13.214133
   0.03667    -13.249514    -13.211322
   0.02445    -13.247336    -13.209282
   0.01222    -13.246017    -13.208047
   0.00000    -13.245576    -13.207633
 
# Band-Index    3
   0.00000    -11.886509    -11.815537
   0.01222    -11.885511    -11.814560
   0.02445    -11.882531    -11.811639
   0.03667    -11.877611    -11.806815
   0.04889    -11.870796    -11.800130
   0.06112    -11.862169    -11.791660
   0.07334    -11.851833    -11.781503
   0.08556    -11.839917    -11.769779
   0.09779    -11.826576    -11.756635
   0.11001    -11.812000    -11.742248
   0.12223    -11.796414    -11.726833
   0.13446    -11.780091    -11.710649
   0.14668    -11.763368    -11.694021
   0.15890    -11.746661    -11.677349
   0.17113    -11.730484    -11.661140
   0.18335    -11.715480    -11.646031
   0.19557    -11.702420    -11.632813
   0.20780    -11.692164    -11.622376
   0.22002    -11.685570    -11.615633
   0.23224    -11.683292    -11.613304
   0.23224    -11.683292    -11.613304
   0.27675    -11.680090    -11.610293
   0.32126    -11.670535    -11.601312
   0.36576    -11.654761    -11.586444
   0.41027    -11.633009    -11.565853
   0.45478    -11.605630    -11.539808
   0.49929    -11.573098    -11.508700
   0.54379    -11.536030    -11.473076
   0.58830    -11.495206    -11.433670
   0.63281    -11.451572    -11.391421
   0.67731    -11.406263    -11.347507
   0.72182    -11.360577    -11.303335
   0.76633    -11.315989    -11.260596
   0.81084    -11.274168    -11.221282
   0.85534    -11.236913    -11.187613
   0.89985    -11.206083    -11.161813
   0.94436    -11.183413    -11.145328
   0.98887    -11.169837    -11.136548
   1.03337    -11.164140    -11.127241
   1.07788    -11.162552    -11.112362
   1.07788    -11.162552    -11.112362
   1.12182    -11.157854    -11.120609
   1.16577    -11.158596    -11.125499
   1.20971    -11.171998    -11.135475
   1.25366    -11.200520    -11.159032
   1.29760    -11.242760    -11.196849
   1.34154    -11.295643    -11.246142
   1.38549    -11.355865    -11.303387
   1.42943    -11.420398    -11.365316
   1.47338    -11.486597    -11.429127
   1.51732    -11.552189    -11.492479
   1.56127    -11.615252    -11.553433
   1.60521    -11.674172    -11.610390
   1.64915    -11.727620    -11.662050
   1.69310    -11.774510    -11.707360
   1.73704    -11.813979    -11.745489
   1.78099    -11.845342    -11.775784
   1.82493    -11.868098    -11.797759
   1.86887    -11.881890    -11.811077
   1.91282    -11.886509    -11.815537
   1.91282    -11.886509    -11.815537
   1.95733    -11.881557    -11.810751
   2.00183    -11.866746    -11.796438
   2.04634    -11.842245    -11.772768
   2.09085    -11.808314    -11.739999
   2.13535    -11.765346    -11.698529
   2.17986    -11.713858    -11.648870
   2.22437    -11.654539    -11.591713
   2.26888    -11.588258    -11.527923
   2.31338    -11.516135    -11.458613
   2.35789    -11.439602    -11.385199
   2.40240    -11.360560    -11.309548
   2.44690    -11.281719    -11.234288
   2.49141    -11.207314    -11.163432
   2.53592    -11.145249    -11.104054
   2.58043    -11.113272    -11.070475
   2.62493    -11.129327    -11.080983
   2.66944    -11.170393    -11.124548
   2.71395    -11.209092    -11.171408
   2.75846    -11.225248    -11.192369
   2.75846    -11.815537     -6.178136
   2.75846    -11.814560     -6.178136
   2.75846    -11.811639     -6.178136
   2.75846    -11.806815     -6.178136
   2.75846    -11.800130     -6.178136
   2.75846    -11.791660     -6.178136
   2.75846    -11.781503     -6.178136
   2.75846    -11.769779     -6.178136
   2.75846    -11.756635     -6.178136
   2.75846    -11.742248     -6.178136
   2.75846    -11.726833     -6.178136
   2.75846    -11.710649     -6.178136
   2.75846    -11.694021     -6.178136
   2.75846    -11.677349     -6.178136
   2.75846    -11.661140     -6.178136
   2.75846    -11.646031     -6.178136
   2.75846    -11.632813     -6.178136
   2.75846    -11.622376     -6.178136
   2.75846    -11.615633     -6.178136
   2.75846    -11.613304     -6.178136
 
# Band-Index    4
   2.75846    -11.286599     -6.178136
   2.75846    -11.283809     -6.178136
   2.75846    -11.275720     -6.178136
   2.75846    -11.263067     -6.178136
   2.75846    -11.246795     -6.178136
   2.75846    -11.227866     -6.178136
   2.75846    -11.207129     -6.178136
   2.75846    -11.185311     -6.178136
   2.75846    -11.163034     -6.178136
   2.75846    -11.140823     -6.178136
   2.75846    -11.119150     -6.178136
   2.75846    -11.098436     -6.178136
   2.75846    -11.079070     -6.178136
   2.75846    -11.061414     -6.178136
   2.75846    -11.045806     -6.178136
   2.75846    -11.032562     -6.178136
   2.75846    -11.021954     -6.178136
   2.75846    -11.014206     -6.178136
   2.75846    -11.009486     -6.178136
   2.75846    -11.007898     -6.178136
   2.75846    -11.080699    -10.985926
   2.71395    -11.064274    -10.976134
   2.66944    -11.033541    -10.958035
   2.62493    -11.017322    -10.947702
   2.58043    -11.012711    -10.937603
   2.53592    -10.995510    -10.917025
   2.49141    -10.974933    -10.897401
   2.44690    -10.960827    -10.885905
   2.40240    -10.954755    -10.883342
   2.35789    -10.955813    -10.888388
   2.31338    -10.962419    -10.899145
   2.26888    -10.972908    -10.913707
   2.22437    -10.985715    -10.930335
   2.17986    -10.999448    -10.947523
   2.13535    -11.012933    -10.964017
   2.09085    -11.025218    -10.978809
   2.04634    -11.035542    -10.991107
   2.00183    -11.043317    -11.000303
   1.95733    -11.048138    -11.005981
   1.91282    -11.049768    -11.007898
   1.91282    -11.049768    -11.007898
   1.86887    -11.047591    -11.005450
   1.82493    -11.041099    -10.998156
   1.78099    -11.030454    -10.986197
   1.73704    -11.015937    -10.969885
   1.69310    -10.997965    -10.949676
   1.64915    -10.977131    -10.926214
   1.60521    -10.954213    -10.900325
   1.56127    -10.930275    -10.873117
   1.51732    -10.906743    -10.846052
   1.47338    -10.885542    -10.821070
   1.42943    -10.869262    -10.800756
   1.38549    -10.861400    -10.788607
   1.34154    -10.866388    -10.789161
   1.29760    -10.889001    -10.807543
   1.25366    -10.932306    -10.847484
   1.20971    -10.994298    -10.907678
   1.16577    -11.064759    -10.978970
   1.12182    -11.123467    -11.044941
   1.07788    -11.144296    -11.079606
   1.07788    -11.144296    -11.079606
   1.03337    -11.117759    -11.038277
   0.98887    -11.053635    -10.966189
   0.94436    -10.979136    -10.891689
   0.89985    -10.917752    -10.834376
   0.85534    -10.883855    -10.806661
   0.81084    -10.880229    -10.809291
   0.76633    -10.901113    -10.835199
   0.72182    -10.938401    -10.876180
   0.67731    -10.985239    -10.925779
   0.63281    -11.036644    -10.979407
   0.58830    -11.089051    -11.033757
   0.54379    -11.139847    -11.086358
   0.49929    -11.187095    -11.135315
   0.45478    -11.229281    -11.179106
   0.41027    -11.265247    -11.216530
   0.36576    -11.294097    -11.246622
   0.32126    -11.315169    -11.268652
   0.27675    -11.328000    -11.282086
   0.23224    -11.332307    -11.286599
   0.23224    -11.332307    -11.286599
   0.22002    -11.329560    -11.283809
   0.20780    -11.321579    -11.275720
   0.19557    -11.309041    -11.263067
   0.18335    -11.292837    -11.246795
   0.17113    -11.273891    -11.227866
   0.15890    -11.253043    -11.207129
   0.14668    -11.231018    -11.185311
   0.13446    -11.208455    -11.163034
   0.12223    -11.185893    -11.140823
   0.11001    -11.163819    -11.119150
   0.09779    -11.142676    -11.098436
   0.08556    -11.122869    -11.079070
   0.07334    -11.104780    -11.061414
   0.06112    -11.088764    -11.045806
   0.04889    -11.075156    -11.032562
   0.03667    -11.064244    -11.021954
   0.02445    -11.056267    -11.014206
   0.01222    -11.051405    -11.009486
   0.00000    -11.049768    -11.007898
 
# Band-Index    5
   0.00000     -9.542540     -9.489150
   0.01222     -9.540543     -9.487250
   0.02445     -9.534586     -9.481579
   0.03667     -9.524785     -9.472250
   0.04889     -9.511321     -9.459437
   0.06112     -9.494438     -9.443373
   0.07334     -9.474422     -9.424337
   0.08556     -9.451595     -9.402645
   0.09779     -9.426306     -9.378641
   0.11001     -9.398935     -9.352704
   0.12223     -9.369875     -9.325233
   0.13446     -9.339556     -9.296667
   0.14668     -9.308454     -9.267502
   0.15890     -9.277127     -9.238317
   0.17113     -9.246265     -9.209825
   0.18335     -9.216795     -9.182956
   0.19557     -9.190029     -9.158961
   0.20780     -9.167854     -9.139501
   0.22002     -9.152786     -9.126571
   0.23224     -9.147380     -9.122004
   0.23224     -9.147380     -9.122004
   0.27675     -9.154452     -9.128162
   0.32126     -9.175336     -9.146519
   0.36576     -9.209177     -9.176749
   0.41027     -9.255032     -9.218500
   0.45478     -9.312130     -9.271501
   0.49929     -9.379914     -9.335583
   0.54379     -9.457913     -9.410578
   0.58830     -9.545553     -9.496155
   0.63281     -9.641916     -9.591598
   0.67731     -9.745401     -9.695491
   0.72182     -9.853332     -9.805346
   0.76633     -9.961492     -9.917125
   0.81084    -10.063780    -10.024686
   0.85534    -10.153081    -10.119937
   0.89985    -10.225824    -10.196054
   0.94436    -10.289093    -10.254319
   0.98887    -10.352700    -10.303346
   1.03337    -10.404835    -10.341748
   1.07788    -10.424932    -10.356679
   1.07788    -10.424932    -10.356679
   1.12182    -10.406945    -10.342079
   1.16577    -10.356772    -10.301282
   1.20971    -10.285768    -10.242676
   1.25366    -10.207647    -10.173953
   1.29760    -10.127280    -10.096598
   1.34154    -10.043566    -10.011752
   1.38549     -9.958328     -9.923951
   1.42943     -9.875872     -9.838835
   1.47338     -9.800358     -9.760976
   1.51732     -9.734638     -9.693237
   1.56127     -9.680098     -9.636881
   1.60521     -9.636857     -9.591905
   1.64915     -9.604101     -9.557431
   1.69310     -9.580401     -9.532041
   1.73704     -9.564075     -9.514118
   1.78099     -9.553431     -9.502074
   1.82493     -9.546984     -9.494532
   1.86887     -9.543592     -9.490442
   1.91282     -9.542540     -9.489150
   1.91282     -9.542540     -9.489150
   1.95733     -9.542920     -9.489803
   2.00183     -9.544239     -9.491933
   2.04634     -9.547050     -9.496071
   2.09085     -9.552257     -9.503076
   2.13535     -9.561101     -9.514118
   2.17986     -9.575080     -9.530589
   2.22437     -9.595901     -9.554035
   2.26888     -9.625415     -9.586069
   2.31338     -9.665526     -9.628219
   2.35789     -9.718360     -9.681989
   2.40240     -9.786787     -9.749181
   2.44690     -9.875180     -9.832793
   2.49141     -9.986526     -9.936574
   2.53592    -10.112966    -10.057212
   2.58043    -10.235874    -10.178592
   2.62493    -10.334267    -10.280546
   2.66944    -10.391772    -10.347356
   2.71395    -10.410189    -10.377457
   2.75846    -10.411358    -10.384416
   2.75846     -9.489150     -6.178136
   2.75846     -9.487250     -6.178136
   2.75846     -9.481579     -6.178136
   2.75846     -9.472250     -6.178136
   2.75846     -9.459437     -6.178136
   2.75846     -9.443373     -6.178136
   2.75846     -9.424337     -6.178136
   2.75846     -9.402645     -6.178136
   2.75846     -9.378641     -6.178136
   2.75846     -9.352704     -6.178136
   2.75846     -9.325233     -6.178136
   2.75846     -9.296667     -6.178136
   2.75846     -9.267502     -6.178136
   2.75846     -9.238317     -6.178136
   2.75846     -9.209825     -6.178136
   2.75846     -9.182956     -6.178136
   2.75846     -9.158961     -6.178136
   2.75846     -9.139501     -6.178136
   2.75846     -9.126571     -6.178136
   2.75846     -9.122004     -6.178136
 
# Band-Index    6
   2.75846     -8.825206     -6.178136
   2.75846     -8.821059     -6.178136
   2.75846     -8.809395     -6.178136
   2.75846     -8.792024     -6.178136
